"X","Y","D_epicenter(km)","Geo_zone","Footprint(m2)","Num_floors","Construction_year","Building_type","AB 0s","AB -1s","AB 0.05s","AB 0.1s","AB 0.5s","AB 1s","AB 1.5s","AB 2s","AB 3s","AB 4s","Damage_state"
7474886.856,4843315.432,3.95,"z6",30,1,1988,"bt6.",0.244206,12.4177,0.343222,0.517662,0.24286,0.0837776,0.0419891,0.0255142,0.0114961,0.00667663,"ds0."
7474550.604,4843589.512,3.96,"z8",49,2,2005,"bt6.",0.241291,12.6139,0.337819,0.506957,0.244578,0.085577,0.04302,0.0262682,0.0118583,0.00689418,"ds0."
7474842.908,4843307.808,3.98,"z6",60,1,1999,"bt6.",0.243651,12.3932,0.34235,0.516353,0.242437,0.083649,0.0419266,0.0254746,0.0114781,0.00666583,"ds0."
7478068.944,4842499.196,3.99,"z5",65,1,1988,"bt6.",0.249292,11.0954,0.360087,0.552937,0.222328,0.0719966,0.0357004,0.0213331,0.00956358,0.00556097,"ds0."
7478060.424,4842491.128,4,"z5",95,2,2001,"bt6.",0.249087,11.0876,0.359764,0.552435,0.222181,0.0719553,0.0356807,0.0213213,0.00955829,0.00555786,"ds0."
7474804.792,4843301.532,4.01,"z6",88,2,1988,"bt6.",0.243094,12.3686,0.341477,0.515042,0.242013,0.0835201,0.0418639,0.0254349,0.01146,0.00665499,"ds0."
7477922.752,4842416.408,4.05,"z5",62,2,1988,"bt6.",0.248061,11.0486,0.358146,0.549922,0.221445,0.0717483,0.0355823,0.0212619,0.00953175,0.00554231,"ds0."
7474539.54,4843459.32,4.07,"z6",61,2,1992,"bt6.",0.241979,12.3194,0.339726,0.512413,0.241163,0.083261,0.041738,0.0253552,0.0114236,0.00663325,"ds0."
7474553.668,4843439.14,4.07,"z6",54,2,1989,"bt6.",0.241979,12.3194,0.339726,0.512413,0.241163,0.083261,0.041738,0.0253552,0.0114236,0.00663325,"ds0."
7474939.996,4843110.62,4.08,"z5",75,2,2000,"bt6.",0.247444,11.0252,0.357173,0.548411,0.221002,0.0716236,0.0355231,0.0212261,0.00951577,0.00553295,"ds0."
7477522.976,4842340.572,4.08,"z5",43,2,2001,"bt6.",0.247444,11.0252,0.357173,0.548411,0.221002,0.0716236,0.0355231,0.0212261,0.00951577,0.00553295,"ds0."
7478182.956,4842434.696,4.08,"z5",65,1,2011,"bt6.",0.247444,11.0252,0.357173,0.548411,0.221002,0.0716236,0.0355231,0.0212261,0.00951577,0.00553295,"ds0."
7477235.752,4842317.7,4.1,"z8",100,2,1993,"bt6.",0.238752,12.4984,0.333835,0.501022,0.242626,0.0849721,0.0427243,0.0260791,0.0117716,0.00684206,"ds0."
